"HLTH_PB","GEO","UNIT","LEV_LIMIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","8.0",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","8.2",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","12.5",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","33.5",""
"Total","Lithuania","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","43.6",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.8",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","8.9",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","17.3",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","38.4",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","77.0",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","9.6",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","10.1",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.1",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","39.2",""
"Total","Lithuania","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","81.8",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","0.9",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.2",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.2",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","6.3",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","27.6",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.6",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.8",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.7",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","5.7",""
"Total","Lithuania","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","38.2",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","93.2",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","91.1",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","82.7",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","61.6",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","23.0",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","90.4",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","89.9",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","84.9",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","60.8",""
"Total","Lithuania","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","18.2",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","37.8",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","41.2",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","42.6",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","55.6",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","55.8",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","40.6",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","45.5",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","42.3",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","51.4",""
"Total","Luxembourg","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","46.1",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","43.2",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","45.6",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","47.2",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","66.7",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","78.0",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","46.8",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","51.6",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","47.1",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","60.9",""
"Total","Luxembourg","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","67.2",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.5",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","4.4",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","4.6",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","11.1",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","22.2",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","6.2",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","6.1",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","4.8",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","9.5",""
"Total","Luxembourg","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","21.0",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","56.8",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","54.4",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","52.8",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","33.3",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","22.0",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","53.2",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","48.4",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","52.9",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","39.1",""
"Total","Luxembourg","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","32.8",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.5",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.0",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","16.4",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","31.0",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","36.0",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","15.0",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","14.0",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.3",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","32.7",""
"Total","Hungary","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","34.2",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","9.5",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","11.2",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","19.1",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","43.5",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","68.4",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","16.6",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.1",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","20.6",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","46.0",""
"Total","Hungary","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","77.2",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.0",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","2.2",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.7",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","12.6",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","32.5",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.6",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.1",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","3.3",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","13.4",""
"Total","Hungary","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","43.0",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","90.5",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","88.8",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","80.9",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","56.5",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","31.6",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","83.4",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","84.9",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","79.4",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","54.0",""
"Total","Hungary","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","22.8",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","9.7",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.1",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","9.3",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","24.7",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","36.7",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","8.8",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","11.1",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","12.9",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","22.4",""
"Total","Malta","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","36.1",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","10.2",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.0",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","12.8",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","30.7",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","56.6",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","9.9",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","12.6",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.5",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","27.7",""
"Total","Malta","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","63.6",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","0.5",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","0.9",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","3.5",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","6.0",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","19.9",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.1",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.5",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.7",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","5.3",""
"Total","Malta","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","27.5",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","89.8",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","90.0",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","87.2",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","69.3",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","43.4",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","90.1",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","87.4",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","84.5",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","72.3",""
"Total","Malta","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","36.4",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","17.9",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","19.3",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","26.4",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","41.9",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","44.5",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","20.2",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","20.3",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","25.3",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","36.4",""
"Total","Austria","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","38.9",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","18.6",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","21.0",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","28.6",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","49.6",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","64.6",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","21.3",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","22.2",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","28.8",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","43.8",""
"Total","Austria","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","64.9",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","0.7",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.6",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.1",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","7.7",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","20.1",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.1",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","2.0",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","3.5",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.4",""
"Total","Austria","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","26.0",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","81.4",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","79.0",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","71.4",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","50.4",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","35.4",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","78.7",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","77.8",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","71.2",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","56.2",""
"Total","Austria","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","35.1",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.2",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.8",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","14.2",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","33.6",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","44.0",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","13.0",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.9",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","19.3",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","37.3",""
"Total","Poland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","42.6",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","9.5",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","12.3",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","16.5",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","41.5",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","72.3",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","14.7",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","18.2",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","21.5",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","44.5",""
"Total","Poland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","78.9",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.3",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.5",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.3",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","7.9",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","28.4",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.8",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","2.3",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.2",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","7.2",""
"Total","Poland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","36.3",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","90.5",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","87.7",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","83.5",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","58.5",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","27.7",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","85.3",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","81.8",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","78.5",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","55.5",""
"Total","Poland","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","21.1",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","13.8",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.3",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","15.0",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","33.5",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","34.5",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","13.7",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.7",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","19.9",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","38.3",""
"Total","Portugal","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","30.1",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","15.2",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","11.4",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","17.3",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","43.6",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","63.0",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","15.0",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","17.6",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","24.3",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","53.7",""
"Total","Portugal","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","73.6",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.3",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.0",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.3",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","10.1",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","28.5",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.3",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.9",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","4.4",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","15.3",""
"Total","Portugal","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","43.5",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","84.8",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","88.6",""
"Total","Portugal","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","82.7",""
