"SMOKING","GEO","UNIT","ISCED11","SEX","AGE","TIME","Value","Flag and Footnotes"
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","16.5",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","11.9",""
"Daily smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.8",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","15.0",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","44.0",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","41.4",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","37.4",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","13.7",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","5.4",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","16.3",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","12.0",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","8.2",""
"Daily smoker","Romania","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.7",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","16.5",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","29.3",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","25.1",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","25.1",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","8.1",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","16.1",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","19.5",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","20.9",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","20.8",""
"Daily smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","4.1",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","22.7",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","36.7",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","37.1",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","32.2",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","15.5",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","14.2",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","21.8",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","19.6",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","18.3",""
"Daily smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","4.2",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","12.7",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","18.8",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","11.1",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","18.3",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","8.9",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","11.2",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","14.6",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","11.8",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","13.0",""
"Daily smoker","Finland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","5.3",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","8.0",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","8.8",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","8.4",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","10.6",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","9.1",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","7.2",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","7.6",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","9.0",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","14.9",""
"Daily smoker","Sweden","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","9.2",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","13.5",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","21.9",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","18.2",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","15.6",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","8.1",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","13.5",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","17.4",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","13.4",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","15.0",""
"Daily smoker","United Kingdom","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","7.5",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","8.1",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","14.5",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","10.6",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","17.3",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","10.2",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","8.5",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","13.2",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","9.7",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","13.3",""
"Daily smoker","Iceland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","9.6",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","5.9",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","11.7",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","14.2",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","18.7",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","11.3",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","4.1",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","8.8",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","12.2",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","19.6",""
"Daily smoker","Norway","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","10.9",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","31.4",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","51.2",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","49.9",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","44.4",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","17.6",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","5.7",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","18.8",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","19.7",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","13.8",""
"Daily smoker","Turkey","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","3.0",""
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","5.7","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","7.1","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","6.0","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","3.9","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.3","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","3.4","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","7.3","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","4.2","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","3.3","u"
"Occasional smoker","Belgium","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","0.9","u"
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","8.2",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","8.4",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","7.3",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","6.9",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","4.7",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","7.9",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","9.9",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","10.1",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","6.1",""
"Occasional smoker","Bulgaria","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.0",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","13.6",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","6.7",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","7.5",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","5.8",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","6.5",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","13.6",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","11.0",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","5.7",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","6.8",""
"Occasional smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","2.4",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","13.0",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","15.1",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","5.4",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","4.6",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.4",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","13.5",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","12.3",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","8.8",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","3.7",""
"Occasional smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","2.9",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","12.3",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","11.9",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","7.0",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","5.5",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.0",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","9.8",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","7.9",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","5.7",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","4.4",""
"Occasional smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.2",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","5.9",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","5.6",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","6.3",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","3.7",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","1.8",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","5.1",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","5.4",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","3.9",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","4.6",""
"Occasional smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.5",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","14.4",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","10.7",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","10.9",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","5.8",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.4",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","9.6",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","9.5",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","8.2",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","4.3",""
"Occasional smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","2.3",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","8.0",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","9.1",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","5.0",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","4.8",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","3.6",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","6.3",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","6.3",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","6.6",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","5.7",""
"Occasional smoker","Greece","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","2.0",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","3.6",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","5.5",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","3.5",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","2.1",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","0.7",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","2.3",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","4.2",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","2.5",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","1.5",""
"Occasional smoker","Spain","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","0.2",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","10.1",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","9.0",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","8.6",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","5.2",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","3.0",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","7.1",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","8.4",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","5.6",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","5.0",""
"Occasional smoker","France","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.3",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","3.6",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","4.1",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","3.2",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","3.7",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","1.1",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","8.0",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","4.0",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","4.6",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","4.8",""
"Occasional smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.7",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","8.6",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","10.5",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","7.1",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","4.9",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.7",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","6.6",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","6.4",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","4.5",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","4.0",""
"Occasional smoker","Italy","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.1",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","3.5",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","5.9",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","3.9",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","3.9",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","0.4",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","3.2",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","4.4",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","3.6",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","3.2",""
"Occasional smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","0.9",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","11.0",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","10.8",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","4.3",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","3.9",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.4",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","9.9",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","7.0",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","3.8",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","3.9",""
"Occasional smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","0.2",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","10.2",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","5.2",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","8.6",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","5.8",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.8",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","2.6",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","5.4",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","3.9",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","3.9",""
"Occasional smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","0.6",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","7.2",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","9.0",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","7.1",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","7.1",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","2.0",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","8.7",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","8.7",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","6.0",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","3.2",""
"Occasional smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","1.1",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","3.4",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","1.7",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","2.2",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","1.9",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","0.4",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","3.7",""
"Occasional smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","3.2",""
